epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,test_loss,train_loss,val_loss
,0.00011273672514291846,0.00011273672514291846,0,,,
0,,,49,,22.168987274169922,
0,,,99,,18.580650329589844,
0,,,149,,15.233495712280273,
0,,,199,,13.218402862548828,
0,,,249,,11.63264274597168,
0,,,299,,10.550097465515137,
0,,,349,,9.779358863830566,
0,,,399,,9.127167701721191,
0,,,449,,8.572126388549805,
0,,,499,,8.14819049835205,
0,,,549,,7.756241798400879,
0,,,599,,7.4219841957092285,
0,,,649,,7.138953685760498,
0,,,699,,6.878104209899902,
0,,,749,,6.637653827667236,
0,,,799,,6.428922653198242,
0,,,849,,6.246880054473877,
0,,,899,,6.0751729011535645,
0,,,949,,5.920261383056641,
0,,,999,,5.761954307556152,
0,,,1049,,4.79258918762207,
0,,,1099,,4.1807332038879395,
0,,,1149,,3.882685661315918,
0,,,1199,,3.646941661834717,
0,,,1249,,3.5038294792175293,
0,,,1299,,3.367772102355957,
0,,,1349,,3.212700605392456,
0,,,1399,,3.0894198417663574,
0,,,1449,,2.9962661266326904,
0,,,1499,,2.8742754459381104,
0,,,1549,,2.7811155319213867,
0,,,1599,,2.6887636184692383,
0,,,1649,,2.597498893737793,
0,,,1699,,2.5198094844818115,
0,,,1749,,2.440593719482422,
0,,,1799,,2.3577303886413574,
0,,,1849,,2.277193546295166,
0,,,1899,,2.202018976211548,
0,,,1949,,2.1209120750427246,
0,,,1999,,2.062317132949829,
0,,,2049,,1.9949676990509033,
0,,,2099,,1.9269742965698242,
0,,,2149,,1.8768004179000854,
0,,,2199,,1.8248531818389893,
0,,,2249,,1.7776004076004028,
0,,,2299,,1.723484754562378,
0,,,2349,,1.6887813806533813,
0,,,2399,,1.646363377571106,
0,,,2440,,,1.6563140153884888
,0.00011273672514291846,0.00011273672514291846,2441,,,
1,,,2449,,1.5975091457366943,
1,,,2499,,1.5658915042877197,
1,,,2549,,1.5327156782150269,
1,,,2599,,1.4979842901229858,
1,,,2649,,1.4621555805206299,
1,,,2699,,1.4261044263839722,
1,,,2749,,1.3977545499801636,
1,,,2799,,1.3736882209777832,
1,,,2849,,1.3426692485809326,
1,,,2899,,1.3138548135757446,
1,,,2949,,1.2929805517196655,
1,,,2999,,1.2720993757247925,
1,,,3049,,1.254741907119751,
1,,,3099,,1.2399101257324219,
1,,,3149,,1.2149890661239624,
1,,,3199,,1.1968140602111816,
1,,,3249,,1.17178475856781,
1,,,3299,,1.1545923948287964,
1,,,3349,,1.1378870010375977,
1,,,3399,,1.1248934268951416,
1,,,3449,,1.1072899103164673,
1,,,3499,,1.0943275690078735,
1,,,3549,,1.0769283771514893,
1,,,3599,,1.0679059028625488,
1,,,3649,,1.0575722455978394,
1,,,3699,,1.0464928150177002,
1,,,3749,,1.0383210182189941,
1,,,3799,,1.0255991220474243,
1,,,3849,,1.0170061588287354,
1,,,3899,,1.0064430236816406,
1,,,3949,,0.9981723427772522,
1,,,3999,,0.9856287837028503,
1,,,4049,,0.9785404801368713,
1,,,4099,,0.970782458782196,
1,,,4149,,0.9633954763412476,
1,,,4199,,0.9525826573371887,
1,,,4249,,0.9472833275794983,
1,,,4299,,0.9441404342651367,
1,,,4349,,0.9362292289733887,
1,,,4399,,0.9312847256660461,
1,,,4449,,0.9298787117004395,
1,,,4499,,0.9233324527740479,
1,,,4549,,0.9155387282371521,
1,,,4599,,0.9031533598899841,
1,,,4649,,0.895599901676178,
1,,,4699,,0.8877370953559875,
1,,,4749,,0.8787789940834045,
1,,,4799,,0.8752526044845581,
1,,,4849,,0.8693981766700745,
1,,,4881,,,1.8748379945755005
,0.00011273672514291846,0.00011273672514291846,4882,,,
2,,,4899,,0.8666993975639343,
2,,,4949,,0.8586804270744324,
2,,,4999,,0.8528799414634705,
2,,,5049,,0.8448762893676758,
2,,,5099,,0.8334028720855713,
2,,,5149,,0.8300016522407532,
2,,,5199,,0.8229237794876099,
2,,,5249,,0.8188556432723999,
2,,,5299,,0.8103173971176147,
2,,,5349,,0.8049402236938477,
2,,,5399,,0.7987013459205627,
2,,,5449,,0.7887656092643738,
2,,,5499,,0.7817253470420837,
2,,,5549,,0.7789381742477417,
2,,,5599,,0.7770233750343323,
2,,,5649,,0.771961510181427,
2,,,5699,,0.7640159726142883,
2,,,5749,,0.7591230273246765,
2,,,5799,,0.7520326375961304,
2,,,5849,,0.7490988969802856,
2,,,5899,,0.7442363500595093,
2,,,5949,,0.742872953414917,
2,,,5999,,0.7380552887916565,
2,,,6049,,0.7328689098358154,
2,,,6099,,0.7327962517738342,
2,,,6149,,0.7265693545341492,
2,,,6199,,0.7260963320732117,
2,,,6249,,0.720209002494812,
2,,,6299,,0.714974582195282,
2,,,6349,,0.7129416465759277,
2,,,6399,,0.709091305732727,
2,,,6449,,0.7077870965003967,
2,,,6499,,0.7046970129013062,
2,,,6549,,0.701333224773407,
2,,,6599,,0.6940721273422241,
2,,,6649,,0.6881894469261169,
2,,,6699,,0.6881240010261536,
2,,,6749,,0.689407229423523,
2,,,6799,,0.6897624731063843,
2,,,6849,,0.6844407916069031,
2,,,6899,,0.6808336973190308,
2,,,6949,,0.6762868762016296,
2,,,6999,,0.675077497959137,
2,,,7049,,0.6725074648857117,
2,,,7099,,0.6692430377006531,
2,,,7149,,0.6658042669296265,
2,,,7199,,0.662331223487854,
2,,,7249,,0.6619387865066528,
2,,,7299,,0.6611593961715698,
2,,,7322,,,0.9237309098243713
,0.00011273672514291846,0.00011273672514291846,7323,,,
3,,,7349,,0.6549564599990845,
3,,,7399,,0.6502563953399658,
3,,,7449,,0.6429009437561035,
3,,,7499,,0.63723224401474,
3,,,7549,,0.6342936158180237,
3,,,7599,,0.634034276008606,
3,,,7649,,0.6322933435440063,
3,,,7699,,0.6267175674438477,
3,,,7749,,0.6219455599784851,
3,,,7799,,0.6157593727111816,
3,,,7849,,0.61229008436203,
3,,,7899,,0.6087555289268494,
3,,,7949,,0.6035571098327637,
3,,,7999,,0.5998410582542419,
3,,,8049,,0.597154438495636,
3,,,8099,,0.5945013165473938,
3,,,8149,,0.5888655781745911,
3,,,8199,,0.5856418609619141,
3,,,8249,,0.5844423770904541,
3,,,8299,,0.5807392597198486,
3,,,8349,,0.5783172249794006,
3,,,8399,,0.5758712291717529,
3,,,8449,,0.5768608450889587,
3,,,8499,,0.5768030881881714,
3,,,8549,,0.5747366547584534,
3,,,8599,,0.574128270149231,
3,,,8649,,0.5715264081954956,
3,,,8699,,0.5728610754013062,
3,,,8749,,0.5706379413604736,
